#mass,Z,Yield,Yield/m,Standard,Standard/m
0.85,0.0001,1.29E-02,0.0151764705882353,,
1.0,0.0001,2.42E-02,0.0242,,
1.25,0.0001,2.98E-02,0.02384,,
1.5,0.0001,3.74E-02,0.0249333333333333,,
2.0,0.0001,4.89E-02,0.02445,,
2.5,0.0001,2.77E-02,0.01108,,
3.0,0.0001,8.21E-02,0.0273666666666667,,
4.0,0.0001,2.75E-02,0.006875,,
6.0,0.0001,4.79E-02,0.00798333333333333,,
0.85,0.002,1.61E-02,0.0189411764705882,,
1.0,0.002,2.68E-02,0.0268,,
1.25,0.002,2.90E-02,0.0232,,
1.5,0.002,4.20E-02,0.028,,
2.0,0.002,4.71E-02,0.02355,,
2.5,0.002,5.84E-02,0.02336,,
3.0,0.002,5.76E-02,0.0192,,
4.0,0.002,2.28E-01,0.057,,
6.0,0.002,4.30E-01,0.0716666666666667,,
0.85,0.004,0.0,0,,
1.0,0.004,2.10E-02,0.021,,
1.25,0.004,2.84E-02,0.02272,,
1.5,0.004,2.83E-02,0.0188666666666667,,
2.0,0.004,3.33E-02,0.01665,,
2.5,0.004,5.62E-02,0.02248,,
3.0,0.004,6.75E-02,0.0225,,
4.0,0.004,1.93E-01,0.04825,,
6.0,0.004,4.14E-01,0.069,,
0.85,0.014,0.0,0,,
1.0,0.014,1.29E-02,0.0129,,
1.25,0.014,2.27E-02,0.01816,,
1.5,0.014,2.45E-02,0.0163333333333333,,
2.0,0.014,3.36E-02,0.0168,,
2.5,0.014,5.36E-02,0.02144,,
3.0,0.014,8.09E-02,0.0269666666666667,,
4.0,0.014,8.98E-02,0.02245,,
6.0,0.014,3.84E-01,0.064,,
